league_,season_,team_,player_,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ENG-Premier League,2425,Brentford,Igor Thiago,BRA,FW,23,2001,8,1,175,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,MF",23,2001,38,36,3093,34.4,1,3,4,1,0,0,7,0,0.03,0.09,0.12,0.03,0.12
ENG-Premier League,2425,Brentford,Kevin Schade,GER,"MF,FW",22,2001,38,26,2293,25.5,11,2,13,11,0,0,3,0,0.43,0.08,0.51,0.43,0.51
ENG-Premier League,2425,Brentford,Kim Jisoo,KOR,DF,19,2004,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,26,1998,24,17,1438,16.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25,1999,19,11,1101,12.2,0,2,2,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31,1993,37,37,3275,36.4,0,2,2,0,0,0,1,0,0.0,0.05,0.05,0.0,0.05
ENG-Premier League,2425,Brentford,Mathias Jensen,DEN,MF,28,1996,24,8,862,9.6,0,2,2,0,0,0,2,0,0.0,0.21,0.21,0.0,0.21
ENG-Premier League,2425,Brentford,Michael Kayode,ITA,DF,20,2004,12,6,528,5.9,0,1,1,0,0,0,2,0,0.0,0.17,0.17,0.0,0.17
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,MF,24,2000,38,34,2911,32.3,2,10,12,2,0,0,2,0,0.06,0.31,0.37,0.06,0.37
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,23,2001,38,38,3420,38.0,2,3,5,2,0,0,5,0,0.05,0.08,0.13,0.05,0.13
ENG-Premier League,2425,Brentford,Rico Henry,JAM,"DF,MF",27,1997,5,0,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,21,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,22,2001,31,29,2586,28.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26,1998,32,27,2254,25.0,1,3,4,1,0,0,3,0,0.04,0.12,0.16,0.04,0.16
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20,2004,31,15,1450,16.1,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,27,1996,35,34,2919,32.4,19,4,23,19,0,0,5,0,0.59,0.12,0.71,0.59,0.71
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,MF,18,2006,10,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29,1995,14,11,887,9.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,21,2002,36,36,3240,36.0,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23,2001,2,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20,2004,21,8,687,7.6,1,4,5,1,0,0,0,0,0.13,0.52,0.66,0.13,0.66
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20,2004,34,31,2661,29.6,3,1,4,3,0,0,8,1,0.1,0.03,0.14,0.1,0.14
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,33,1990,30,24,2115,23.5,10,4,14,9,1,1,5,0,0.43,0.17,0.6,0.38,0.55
ENG-Premier League,2425,Brighton,Diego Gómez,PAR,MF,21,2003,16,4,516,5.7,1,0,1,1,0,0,0,0,0.17,0.0,0.17,0.17,0.17
ENG-Premier League,2425,Brighton,Eiran Cashin,IRL,DF,22,2001,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,19,2004,13,2,246,2.7,1,0,1,1,0,0,0,0,0.37,0.0,0.37,0.37,0.37
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",24,1999,6,5,385,4.3,1,0,1,1,0,0,1,0,0.23,0.0,0.23,0.23,0.23
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"MF,FW",22,2002,28,19,1656,18.4,5,3,8,5,0,0,2,0,0.27,0.16,0.43,0.27,0.43
ENG-Premier League,2425,Brighton,Harry Howell,ENG,MF,16,2008,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,Igor,BRA,DF,26,1998,13,10,961,10.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19,2005,26,22,1842,20.5,5,2,7,5,0,0,5,0,0.24,0.1,0.34,0.24,0.34
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,25,1999,4,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,38,1986,4,3,170,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24,2000,34,33,2958,32.9,1,1,2,1,0,0,8,1,0.03,0.03,0.06,0.03,0.06
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,33,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,João Pedro,BRA,"FW,MF",22,2001,27,23,1948,21.6,10,6,16,5,5,5,4,1,0.46,0.28,0.74,0.23,0.51
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,32,1992,21,19,1697,18.9,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,MF,20,2004,12,2,294,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,MF,27,1997,36,28,2603,28.9,10,4,14,10,0,0,1,0,0.35,0.14,0.48,0.35,0.48
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,32,1991,25,23,2083,23.1,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,"DF,MF",24,1999,25,10,1015,11.3,1,3,4,1,0,0,6,0,0.09,0.27,0.35,0.09,0.35
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,23,2000,21,11,938,10.4,2,2,4,1,1,1,1,0,0.19,0.19,0.38,0.1,0.29
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26,1998,30,26,2402,26.7,1,1,2,1,0,0,5,0,0.04,0.04,0.07,0.04,0.07
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,MF,22,2002,29,12,1097,12.2,2,2,4,2,0,0,0,0,0.16,0.16,0.33,0.16,0.33
ENG-Premier League,2425,Brighton,Solly March,ENG,MF,30,1994,8,1,168,1.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,"DF,MF",23,2000,15,10,860,9.6,2,2,4,2,0,0,0,0,0.21,0.21,0.42,0.21,0.42
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,MF,20,2004,32,20,1838,20.4,6,4,10,6,0,0,6,0,0.29,0.2,0.49,0.29,0.49
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,20,2003,34,22,1965,21.8,2,1,3,2,0,0,3,0,0.09,0.05,0.14,0.09,0.14
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,26,1998,6,4,364,4.0,1,0,1,1,0,0,1,0,0.25,0.0,0.25,0.25,0.25
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,23,2001,5,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,"MF,FW",26,1997,27,9,921,10.2,3,2,5,3,0,0,2,0,0.29,0.2,0.49,0.29,0.49
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,MF,22,2002,37,36,3191,35.5,15,8,23,11,4,5,7,0,0.42,0.23,0.65,0.31,0.54
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23,2001,36,32,2947,32.7,6,7,13,6,0,0,8,0,0.18,0.21,0.4,0.18,0.4
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22,2002,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
